Symbol,CUSIP,Description,Region,Exchange,AssetClass,Currency,Country
TSLA,88160R101,Tesla Inc. Common Stock,US,NASDAQ,Equity,USD,USA
AAPL,037833100,Apple Inc. Common Stock,US,NASDAQ,Equity,USD,USA
MSFT,594918104,Microsoft Corporation,US,NASDAQ,Equity,USD,USA
AMZN,023135106,Amazon.com Inc.,US,NASDAQ,Equity,USD,USA
GOOGL,02079K305,Alphabet Inc. Class A,US,NASDAQ,Equity,USD,USA
TSLA1,88160R101MALFORMEDCUSIP123,Tesla Inc. Class 1 Preferred,US,NASDAQ,Equity,USD,USA
TSLA-OLD,88160R101EXTRALONG987654321,Tesla Motors Inc. (Pre-Rename),US,NASDAQ,Equity,USD,USA
TSLA_X,88160R101-INVALID-FORMAT,Tesla Experimental Division,US,NASDAQ,Equity,USD,USA
SPY,78462F103,SPDR S&P 500 ETF Trust,US,NYSE,ETF,USD,USA
QQQ,46090E103,Invesco QQQ Trust Series 1,US,NASDAQ,ETF,USD,USA
